BuildingID,LevelID,Material,NumberCode,SpaceProgram,Placement,BuildingPhase,eBKP-H,LoadBearing,ANF Brandschutz,ANF Schallschutz,Category,Name,NameDE,Width,Height,Thickness,StiffeningFunction,Water,Heating,Ventilation,Electricity,FireRequirementsDE,FireRating,AcoustingRating,ThermalTransmittance,Finishing,LeadTime,MaterialCost,LaborCost,CostEstimatingMethod,Version,Comments,ImageURL,LinkToIfc,ReferenceGeometry
Implenia_Default,Implenia_Default,Timber,WAL_21_CNI_REN,Implenia_Default,TRUE,Off-Site 2D or 3D,E02.04,FALSE,None,None,WALL,Compact not load bearing exterior wall above ground with installation layer,Oberirdische nicht tragende Aussenwand kompakt mit Installationsebene,1000,3000,402,FALSE,FALSE,FALSE,TRUE,TRUE,tbd,tbd,tbd,0.131 W/(m²K),RENDER,tbd,,,,2409,,https://www.dropbox.com/scl/fi/mjj0ri13bhz59v702iht0/WAL21_Kompakt.png?rlkey=49e5x7m448etzvai8j97wjn4d&dl=1,,
Implenia_Default,Implenia_Default,Timber,WAL_21_VNI_MET,Implenia_Default,TRUE,Off-Site 2D or 3D,E02.04,FALSE,None,None,WALL,Ventilated not load bearing exterior wall above ground with installation layer,Oberirdische nicht tragende Aussenwand hinterlüftet mit Installationsebene,1000,3000,471,FALSE,FALSE,FALSE,TRUE,TRUE,tbd,tbd,tbd,0.134 W/(m²K),METALL,tbd,,,,2409,,https://www.dropbox.com/scl/fi/6q2ta5zbr8nyjrxgtjuz8/WAL21_Hinterleuftet.png?rlkey=5hxbki8el3d0myrdts4aam19b&dl=1,,
Implenia_Default,Implenia_Default,Timber,WAL_22_CNT_REN,Implenia_Default,TRUE,Off-Site 2D or 3D,E02.04,FALSE,None,None,WALL,Compact not load bearing exterior wall above ground,Oberirdische nicht tragende Aussenwand kompakt,1000,3000,340,FALSE,FALSE,FALSE,TRUE,FALSE,tbd,tbd,tbd,0.155 W/(m²K),RENDER,tbd,,,,2409,,https://www.dropbox.com/scl/fi/cjhtdgfda1kit4cjil9gz/WAL22_Kompakt.png?rlkey=vccc0dc2ygpymdtfd02bh3rhe&dl=1,,
Implenia_Default,Implenia_Default,Timber,WAL_22_VNT_MET,Implenia_Default,TRUE,Off-Site 2D or 3D,E02.04,FALSE,None,None,WALL,Ventilated not load bearing exterior wall above ground,Oberirdische nicht tragende Aussenwand hinterlüftet,1000,3000,409,FALSE,FALSE,FALSE,TRUE,FALSE,tbd,tbd,tbd,0.155 W/(m²K),METALL,tbd,,,,2409,,https://www.dropbox.com/scl/fi/cmsgkwsd1dh4a1fgnnueh/WAL22_Hinterleuftet.png?rlkey=naivhdb62igzlttp0vqyu8erj&dl=1,,
Implenia_Default,Implenia_Default,Timber,WAL_23_STD_REN,Implenia_Default,FALSE,Off-Site 2D,G01.01,FALSE,REI 60,66 dB,WALL,Flat partition timber frame wall not load bearing,Wohnungstrennwand Holzrahmenbau nicht tragend,1000,3000,275,TRUE,FALSE,FALSE,FALSE,TRUE,tbd,tbd,tbd,0.161 W/(m²K),RENDER,tbd,,,,2409,,https://www.dropbox.com/scl/fi/aqku0zwkg8s77mk5jyo3m/WAL23-35.png?rlkey=hxpj7rgl31c8t87v4f5irplbd&dl=1,,
Implenia_Default,Implenia_Default,Timber,WAL_24_STD_REN,Implenia_Default,FALSE,Off-Site 2D,G01.01,TRUE,REI 60,69 dB,WALL,Flat partition timber frame wall load bearing,Wohnungstrennwand Holzrahmenbau tragend,1000,3000,318,FALSE,FALSE,FALSE,FALSE,TRUE,tbd,tbd,tbd,0.164 W/(m²K),RENDER,tbd,,,,2409,,https://www.dropbox.com/scl/fi/vnb0pahbz2bztkhyr1yh1/WAL24-25.png?rlkey=jk112u13eq2rsocjeo8e7qfog&dl=1,,
Implenia_Default,Implenia_Default,Timber,WAL_25_STD_REN,Implenia_Default,FALSE,Off-Site 2D,G01.01,FALSE,None,None,WALL,Room partition wall,Innenwand,1000,3000,90,FALSE,FALSE,FALSE,FALSE,TRUE,tbd,tbd,tbd,0.571 W/(m²K),RENDER,tbd,,,,2409,,https://www.dropbox.com/scl/fi/7febl49ep0692xm5vwxi1/WAL25.png?rlkey=hb7oy72vc3etvy2gmve0ylse6&dl=1,,
Implenia_Default,Implenia_Default,Concrete,WAL_26_STD_REN,Implenia_Default,FALSE,On-Site,C02.02,TRUE,REI 60,64 dB,WALL,Concrete semi-finished elements wall,Betonwand halbfertige Elemente,1000,3000,0,TRUE,FALSE,FALSE,FALSE,TRUE,tbd,tbd,tbd,2.778 W/(m²K),UNTREATED,tbd,,,,2409,,https://www.dropbox.com/scl/fi/xjzk9u5cmj7i0ws40u9wx/WAL26.png?rlkey=88aa3zko50k749a9byf9jguf1&dl=1,,
Implenia_Default,Implenia_Default,Timber,WAL_27_STD_REN,Implenia_Default,FALSE,Off-Site 3D,G01.01,FALSE,None,None,WALL,Stiffening interior wall with installation layer,Aussteifende Innenwand mit Installationsebene,1000,3000,115,TRUE,FALSE,FALSE,FALSE,TRUE,tbd,tbd,tbd,0.607 W/(m²K),RENDER/TILES,tbd,,,,2409,,https://www.dropbox.com/scl/fi/d90fk2gdrq5ztgxem0nrq/WAL27.png?rlkey=zfifp36u286am5s22ssyutsrg&dl=1,,
Implenia_Default,Implenia_Default,Timber,WAL_28_STD_REN,Implenia_Default,FALSE,Off-Site 2D,G01.01,FALSE,REI 60,tbd,WALL,Massive timber partition wall,Wohnungstrennwand Massiv,1000,3000,0,FALSE,FALSE,FALSE,FALSE,TRUE,tbd,tbd,tbd,-1,RENDER,tbd,,,,2409,Kein Rücksprung,https://www.dropbox.com/scl/fi/t4hn5mmcw8g57ki5jcosg/WAL28-35.png?rlkey=fkawab1zvc0uyu2wqwpttwyxo&dl=1,,
